,continent,noc,year,or,argent,bronze
899,EUROPE,RUS,1996,26,21,16
900,EUROPE,RUS,2000,32,28,29
901,EUROPE,RUS,2004,28,26,36
902,EUROPE,RUS,2008,23,21,28
903,EUROPE,RUS,2012,24,26,32
904,EUROPE,RUS,2016,19,17,20
905,ASIE,KSA,2000,0,1,1
906,ASIE,KSA,2012,0,0,1
907,AFRIQUE,SEN,1988,0,1,0
908,EUROPE,SCG,1996,1,1,2
909,EUROPE,SCG,2000,1,1,1
910,EUROPE,SCG,2004,0,2,0
911,ASIE,SIN,1960,0,1,0
912,ASIE,SIN,2008,0,1,0
913,ASIE,SIN,2012,0,0,2
914,ASIE,SIN,2016,1,0,0
915,EUROPE,SVK,1996,1,1,1
916,EUROPE,SVK,2000,1,3,1
917,EUROPE,SVK,2004,2,2,2
918,EUROPE,SVK,2008,3,2,1
919,EUROPE,SVK,2012,0,1,3
920,EUROPE,SVK,2016,2,2,0
921,EUROPE,SLO,1992,0,0,2
922,EUROPE,SLO,1996,0,2,0
923,EUROPE,SLO,2000,2,0,0
924,EUROPE,SLO,2004,0,1,3
925,EUROPE,SLO,2008,1,2,2
926,EUROPE,SLO,2012,1,1,2
927,EUROPE,SLO,2016,1,2,1
928,AFRIQUE,RSA,1908,1,1,0
929,AFRIQUE,RSA,1912,4,2,0
930,AFRIQUE,RSA,1920,3,4,3
931,AFRIQUE,RSA,1924,1,1,1
932,AFRIQUE,RSA,1928,1,0,2
933,AFRIQUE,RSA,1932,2,0,3
934,AFRIQUE,RSA,1936,0,1,0
935,AFRIQUE,RSA,1948,2,2,2
936,AFRIQUE,RSA,1952,2,4,4
937,AFRIQUE,RSA,1956,0,0,4
938,AFRIQUE,RSA,1960,0,1,2
939,AFRIQUE,RSA,1992,0,2,0
940,AFRIQUE,RSA,1996,3,1,1
941,AFRIQUE,RSA,2000,0,2,3
942,AFRIQUE,RSA,2004,1,3,2
943,AFRIQUE,RSA,2008,0,1,0
944,AFRIQUE,RSA,2012,3,2,1
945,AFRIQUE,RSA,2016,2,6,2
946,ASIE,KOR,1948,0,0,2
947,ASIE,KOR,1952,0,0,2
948,ASIE,KOR,1956,0,1,1
949,ASIE,KOR,1964,0,2,1
950,ASIE,KOR,1968,0,1,1
951,ASIE,KOR,1972,0,1,0
952,ASIE,KOR,1976,1,1,4
953,ASIE,KOR,1984,6,6,7
954,ASIE,KOR,1988,12,10,11
955,ASIE,KOR,1992,14,6,12
956,ASIE,KOR,1996,7,15,5
957,ASIE,KOR,2000,8,10,10
958,ASIE,KOR,2004,9,12,9
959,ASIE,KOR,2008,13,10,8
960,ASIE,KOR,2012,13,8,7
961,ASIE,KOR,2016,9,3,9
962,EUROPE,ESP,1900,1,0,0
963,EUROPE,ESP,1920,0,2,0
964,EUROPE,ESP,1928,1,0,0
965,EUROPE,ESP,1932,0,0,1
966,EUROPE,ESP,1948,0,1,0
967,EUROPE,ESP,1952,0,1,0
968,EUROPE,ESP,1960,0,0,1
969,EUROPE,ESP,1972,1,0,1
970,EUROPE,ESP,1976,0,2,0
971,EUROPE,ESP,1980,1,3,2
972,EUROPE,ESP,1984,1,2,2
973,EUROPE,ESP,1988,1,1,2
974,EUROPE,ESP,1992,13,7,3
975,EUROPE,ESP,1996,5,6,6
976,EUROPE,ESP,2000,3,3,5
977,EUROPE,ESP,2004,3,11,6
978,EUROPE,ESP,2008,5,10,3
979,EUROPE,ESP,2012,3,10,4
980,EUROPE,ESP,2016,7,4,6
981,ASIE,SRI,1948,0,1,0
982,ASIE,SRI,2000,0,1,0
983,AFRIQUE,SUD,2008,0,1,0
984,AMÉRIQUE,SUR,1988,1,0,0
985,AMÉRIQUE,SUR,1992,0,0,1
986,EUROPE,SWE,1900,1,0,1
987,EUROPE,SWE,1908,8,6,11
988,EUROPE,SWE,1912,24,24,17
989,EUROPE,SWE,1920,19,20,25
990,EUROPE,SWE,1924,5,14,12
991,EUROPE,SWE,1928,9,8,13
992,EUROPE,SWE,1932,11,7,9
993,EUROPE,SWE,1936,8,7,13
994,EUROPE,SWE,1948,21,14,21
995,EUROPE,SWE,1952,12,13,14
996,EUROPE,SWE,1956,10,9,10
997,EUROPE,SWE,1960,4,4,5
998,EUROPE,SWE,1964,5,5,5
999,EUROPE,SWE,1968,5,3,4
1000,EUROPE,SWE,1972,5,7,8
1001,EUROPE,SWE,1976,4,1,2
1002,EUROPE,SWE,1980,6,3,7
1003,EUROPE,SWE,1984,6,13,8
1004,EUROPE,SWE,1988,4,4,9
1005,EUROPE,SWE,1992,2,7,7
1006,EUROPE,SWE,1996,2,4,2
1007,EUROPE,SWE,2000,4,5,3
1008,EUROPE,SWE,2004,4,2,1
1009,EUROPE,SWE,2008,0,4,1
1010,EUROPE,SWE,2012,1,4,3
1011,EUROPE,SWE,2016,2,6,3
1012,EUROPE,SUI,1896,1,2,0
1013,EUROPE,SUI,1900,6,2,1
1014,EUROPE,SUI,1904,1,0,2
1015,EUROPE,SUI,1912,1,0,0
1016,EUROPE,SUI,1920,2,2,7
1017,EUROPE,SUI,1924,9,8,11
1018,EUROPE,SUI,1928,7,6,5
1019,EUROPE,SUI,1932,0,2,0
1020,EUROPE,SUI,1936,5,11,5
1021,EUROPE,SUI,1948,8,16,7
1022,EUROPE,SUI,1952,2,6,8
1023,EUROPE,SUI,1956,3,2,2
1024,EUROPE,SUI,1960,2,3,3
1025,EUROPE,SUI,1964,1,2,1
1026,EUROPE,SUI,1968,0,3,8
1027,EUROPE,SUI,1972,4,6,3
1028,EUROPE,SUI,1976,2,4,3
1029,EUROPE,SUI,1980,3,1,3
1030,EUROPE,SUI,1984,2,6,5
1031,EUROPE,SUI,1988,5,7,7
1032,EUROPE,SUI,1992,2,0,2
1033,EUROPE,SUI,1996,4,3,0
1034,EUROPE,SUI,2000,1,6,2
1035,EUROPE,SUI,2004,1,1,3
1036,EUROPE,SUI,2008,2,1,4
1037,EUROPE,SUI,2012,2,2,0
1038,EUROPE,SUI,2016,3,2,2
1039,ASIE,SYR,1984,0,1,0
1040,ASIE,SYR,1996,1,0,0
1041,ASIE,SYR,2004,0,0,1
1042,ASIE,TPE,1960,0,1,0
1043,ASIE,TPE,1968,0,0,1
1044,ASIE,TPE,1984,0,0,1
1045,ASIE,TPE,1992,0,1,0
1046,ASIE,TPE,1996,0,1,0
1047,ASIE,TPE,2000,0,1,4
1048,ASIE,TPE,2004,2,2,1
1049,ASIE,TPE,2008,0,0,4
1050,ASIE,TPE,2012,0,1,1
1051,ASIE,TPE,2016,1,0,2
1052,ASIE,TJK,2008,0,1,1
1053,ASIE,TJK,2012,0,0,1
1054,ASIE,TJK,2016,1,0,0
1055,AFRIQUE,TAN,1980,0,2,0
1056,ASIE,THA,1976,0,0,1
1057,ASIE,THA,1984,0,1,0
1058,ASIE,THA,1988,0,0,1
1059,ASIE,THA,1992,0,0,1
1060,ASIE,THA,1996,1,0,1
1061,ASIE,THA,2000,1,0,2
1062,ASIE,THA,2004,3,1,4
1063,ASIE,THA,2008,2,2,0
1064,ASIE,THA,2012,0,2,1
1065,ASIE,THA,2016,2,2,2
1066,EUROPE,TOG,2008,0,0,1
1067,OCÉANIE,TGA,1996,0,1,0
1068,AMÉRIQUE,TTO,1948,0,1,0
1069,AMÉRIQUE,TTO,1952,0,0,2
1070,AMÉRIQUE,TTO,1964,0,1,2
1071,AMÉRIQUE,TTO,1976,1,0,0
1072,AMÉRIQUE,TTO,1996,0,0,2
1073,AMÉRIQUE,TTO,2000,0,1,1
1074,AMÉRIQUE,TTO,2004,0,0,1
1075,AMÉRIQUE,TTO,2008,1,1,0
1076,AMÉRIQUE,TTO,2012,1,1,2
1077,AMÉRIQUE,TTO,2016,0,0,1
1078,AFRIQUE,TUN,1964,0,1,1
1079,AFRIQUE,TUN,1968,1,0,1
1080,AFRIQUE,TUN,1972,0,1,0
1081,AFRIQUE,TUN,1996,0,0,1
1082,AFRIQUE,TUN,2008,1,0,0
1083,AFRIQUE,TUN,2012,1,1,1
1084,AFRIQUE,TUN,2016,0,0,3
1085,EUROPE,TUR,1936,1,0,1
1086,EUROPE,TUR,1948,6,4,2
1087,EUROPE,TUR,1952,2,0,1
1088,EUROPE,TUR,1956,3,2,2
1089,EUROPE,TUR,1960,7,2,0
1090,EUROPE,TUR,1964,2,3,1
1091,EUROPE,TUR,1968,2,0,0
1092,EUROPE,TUR,1972,0,1,0
1093,EUROPE,TUR,1984,0,0,3
1094,EUROPE,TUR,1988,1,1,0
1095,EUROPE,TUR,1992,2,2,2
1096,EUROPE,TUR,1996,4,1,1
1097,EUROPE,TUR,2000,3,0,2
1098,EUROPE,TUR,2004,3,3,5
1099,EUROPE,TUR,2008,1,3,3
1100,EUROPE,TUR,2012,2,2,1
1101,EUROPE,TUR,2016,1,3,4
1102,EUROPE,GBR,1896,3,3,3
1103,EUROPE,GBR,1900,19,11,12
1104,EUROPE,GBR,1904,1,1,0
1105,EUROPE,GBR,1908,56,50,37
1106,EUROPE,GBR,1912,10,15,16
1107,EUROPE,GBR,1920,14,16,13
1108,EUROPE,GBR,1924,11,15,14
1109,EUROPE,GBR,1928,4,11,8
1110,EUROPE,GBR,1932,5,7,5
1111,EUROPE,GBR,1936,5,8,4
1112,EUROPE,GBR,1948,4,16,9
1113,EUROPE,GBR,1952,2,2,8
1114,EUROPE,GBR,1956,6,7,11
1115,EUROPE,GBR,1960,2,6,12
1116,EUROPE,GBR,1964,5,12,2
1117,EUROPE,GBR,1968,5,5,3
1118,EUROPE,GBR,1972,4,5,9
1119,EUROPE,GBR,1976,4,5,5
1120,EUROPE,GBR,1980,6,7,9
1121,EUROPE,GBR,1984,6,11,21
1122,EUROPE,GBR,1988,5,10,9
1123,EUROPE,GBR,1992,5,3,12
1124,EUROPE,GBR,1996,1,8,6
1125,EUROPE,GBR,2000,11,10,7
1126,EUROPE,GBR,2004,9,9,12
1127,EUROPE,GBR,2008,19,13,16
1128,EUROPE,GBR,2012,29,17,19
1129,EUROPE,GBR,2016,27,23,17
1130,AMÉRIQUE,USA,1896,11,6,2
1131,AMÉRIQUE,USA,1900,21,16,17
1132,AMÉRIQUE,USA,1904,76,79,75
1133,AMÉRIQUE,USA,1908,22,12,12
1134,AMÉRIQUE,USA,1912,26,18,19
1135,AMÉRIQUE,USA,1920,41,27,27
1136,AMÉRIQUE,USA,1924,46,29,28
1137,AMÉRIQUE,USA,1928,24,20,18
1138,AMÉRIQUE,USA,1932,50,40,32
1139,AMÉRIQUE,USA,1936,25,21,15
1140,AMÉRIQUE,USA,1948,41,30,21
1141,AMÉRIQUE,USA,1952,44,25,18
1142,AMÉRIQUE,USA,1956,34,28,19
1143,AMÉRIQUE,USA,1960,37,25,19
1144,AMÉRIQUE,USA,1964,37,28,32
1145,AMÉRIQUE,USA,1968,46,31,35
1146,AMÉRIQUE,USA,1972,36,33,33
1147,AMÉRIQUE,USA,1976,37,38,29
1148,AMÉRIQUE,USA,1980,6,4,2
1149,AMÉRIQUE,USA,1984,86,65,30
1150,AMÉRIQUE,USA,1988,38,32,30
1151,AMÉRIQUE,USA,1992,42,38,39
1152,AMÉRIQUE,USA,1996,44,32,25
1153,AMÉRIQUE,USA,2000,36,24,31
1154,AMÉRIQUE,USA,2004,36,39,26
1155,AMÉRIQUE,USA,2008,36,39,35
1156,AMÉRIQUE,USA,2012,46,28,29
1157,AMÉRIQUE,USA,2016,46,37,38
1158,AFRIQUE,UGA,1968,0,1,1
1159,AFRIQUE,UGA,1972,1,1,0
1160,AFRIQUE,UGA,1980,0,1,0
1161,AFRIQUE,UGA,1996,0,0,1
1162,AFRIQUE,UGA,2012,1,0,0
1163,EUROPE,UKR,1996,9,2,12
1164,EUROPE,UKR,2000,3,10,10
1165,EUROPE,UKR,2004,8,5,9
1166,EUROPE,UKR,2008,7,5,15
1167,EUROPE,UKR,2012,6,5,9
1168,EUROPE,UKR,2016,2,5,4
1169,ASIE,UAE,2004,1,0,0
1170,ASIE,UAE,2016,0,0,1
1171,AMÉRIQUE,URU,1924,1,0,0
1172,AMÉRIQUE,URU,1928,1,0,0
1173,AMÉRIQUE,URU,1932,0,0,1
1174,AMÉRIQUE,URU,1948,0,1,1
1175,AMÉRIQUE,URU,1952,0,0,2
1176,AMÉRIQUE,URU,1956,0,0,1
1177,AMÉRIQUE,URU,1964,0,0,1
1178,AMÉRIQUE,URU,2000,0,1,0
1179,ASIE,UZB,1996,0,1,1
1180,ASIE,UZB,2000,1,1,2
1181,ASIE,UZB,2004,2,1,2
1182,ASIE,UZB,2008,1,2,3
1183,ASIE,UZB,2012,1,0,2
1184,ASIE,UZB,2016,4,2,7
1185,AMÉRIQUE,VEN,1952,0,0,1
1186,AMÉRIQUE,VEN,1960,0,0,1
1187,AMÉRIQUE,VEN,1968,1,0,0
1188,AMÉRIQUE,VEN,1976,0,1,0
1189,AMÉRIQUE,VEN,1980,0,1,0
1190,AMÉRIQUE,VEN,1984,0,0,3
1191,AMÉRIQUE,VEN,2004,0,0,2
1192,AMÉRIQUE,VEN,2008,0,0,1
1193,AMÉRIQUE,VEN,2012,1,0,0
1194,AMÉRIQUE,VEN,2016,0,1,2
1195,ASIE,VIE,2000,0,1,0
1196,ASIE,VIE,2008,0,1,0
1197,ASIE,VIE,2016,1,1,0
1198,AMÉRIQUE,ISV,1988,0,1,0
1199,AFRIQUE,ZAM,1984,0,0,1
1200,AFRIQUE,ZAM,1996,0,1,0
